AccX,AccY,AccZ,Act
0,0,0,0
-0.965087891,-0.060058594,-0.236328125,1
-0.965087891,-0.060058594,-0.236328125,1
-0.965087891,-0.060058594,-0.236328125,1
-0.965087891,-0.060058594,-0.236328125,1
-0.963134766,-0.044921875,-0.227294922,1
-0.963134766,-0.044921875,-0.227294922,1
-0.963134766,-0.044921875,-0.227294922,2
-0.725585938,-0.239013672,0.039550781,2
-0.725585938,-0.239013672,0.039550781,2
-0.725585938,-0.239013672,0.039550781,2
0.226318359,0.074951172,0.955078125,2
0.226318359,0.074951172,0.955078125,2
0.226318359,0.074951172,0.955078125,2
-0.146484375,0.1171875,0.982421875,2
-0.146484375,0.1171875,0.982421875,3
-0.146484375,0.1171875,0.982421875,3
-0.146484375,0.1171875,0.982421875,3
-0.177001953,0.114501953,0.9921875,3
-0.177001953,0.114501953,0.9921875,3
-0.177001953,0.114501953,0.9921875,3
-0.185791016,0.1171875,0.978027344,3
-0.185791016,0.1171875,0.978027344,3
-0.185791016,0.1171875,0.978027344,3
-0.177978516,0.124511719,0.975830078,3
-0.177978516,0.124511719,0.975830078,3
0,0,0,0
-0.970214844,0.049804688,-0.226318359,1
-0.970214844,0.049804688,-0.226318359,1
-0.970214844,0.049804688,-0.226318359,1
-0.970214844,0.049804688,-0.226318359,1
-0.961181641,0.041992188,-0.223388672,1
-0.961181641,0.041992188,-0.223388672,1
-0.961181641,0.041992188,-0.223388672,2
-0.329101563,0.03125,-0.161376953,2
-0.329101563,0.03125,-0.161376953,2
-0.329101563,0.03125,-0.161376953,2
0.551269531,0.251220703,0.941894531,2
0.551269531,0.251220703,0.941894531,2
0.551269531,0.251220703,0.941894531,2
-0.011474609,0.092285156,0.986083984,2
-0.011474609,0.092285156,0.986083984,3
-0.011474609,0.092285156,0.986083984,3
-0.011474609,0.092285156,0.986083984,3
-0.102783203,0.1171875,0.980712891,3
-0.102783203,0.1171875,0.980712891,3
-0.102783203,0.1171875,0.980712891,3
-0.11328125,0.117431641,0.984130859,3
-0.11328125,0.117431641,0.984130859,3
-0.11328125,0.117431641,0.984130859,3
-0.116699219,0.113769531,0.983154297,3
-0.116699219,0.113769531,0.983154297,3
-0.116699219,0.113769531,0.983154297,3
-0.116699219,0.113769531,0.983154297,3
0,0,0,0
-0.94921875,0.012451172,-0.229980469,1
-0.94921875,0.012451172,-0.229980469,1
-0.94921875,0.012451172,-0.229980469,1
-0.932617188,-0.033691406,-0.244873047,1
-0.932617188,-0.033691406,-0.244873047,1
-0.932617188,-0.033691406,-0.244873047,1
-0.932617188,-0.033691406,-0.244873047,1
-0.953369141,0.009521484,-0.216308594,1
-0.953369141,0.009521484,-0.216308594,1
-0.953369141,0.009521484,-0.216308594,1
-0.770019531,-0.011230469,-0.228271484,1
-0.770019531,-0.011230469,-0.228271484,1
-0.770019531,-0.011230469,-0.228271484,2
1.176757813,0.025634766,0.865234375,2
1.176757813,0.025634766,0.865234375,2
1.176757813,0.025634766,0.865234375,2
1.176757813,0.025634766,0.865234375,2
-0.395751953,-0.008544922,0.758300781,2
-0.395751953,-0.008544922,0.758300781,3
-0.395751953,-0.008544922,0.758300781,3
-0.121337891,0.086914063,0.976806641,3
-0.121337891,0.086914063,0.976806641,3
-0.121337891,0.086914063,0.976806641,3
-0.139404297,0.089599609,0.979248047,3
-0.139404297,0.089599609,0.979248047,3
-0.139404297,0.089599609,0.979248047,3
0,0,0,0
-0.976074219,-0.006591797,-0.227539063,1
-0.976074219,-0.006591797,-0.227539063,1
-0.976074219,-0.006591797,-0.227539063,1
-0.976074219,-0.006591797,-0.227539063,1
-0.977783203,-0.008789063,-0.228027344,1
-0.977783203,-0.008789063,-0.228027344,1
-0.977783203,-0.008789063,-0.228027344,2
-0.520507813,0.05859375,-0.148681641,2
-0.520507813,0.05859375,-0.148681641,2
-0.520507813,0.05859375,-0.148681641,2
0.497802734,0.360839844,0.96484375,2
0.497802734,0.360839844,0.96484375,2
0.497802734,0.360839844,0.96484375,2
-0.047363281,0.160644531,0.940185547,2
-0.047363281,0.160644531,0.940185547,3
-0.047363281,0.160644531,0.940185547,3
-0.047363281,0.160644531,0.940185547,3
-0.085205078,0.130615234,0.992431641,3
-0.085205078,0.130615234,0.992431641,3
-0.085205078,0.130615234,0.992431641,3
-0.098876953,0.137207031,0.970947266,3
-0.098876953,0.137207031,0.970947266,3
-0.098876953,0.137207031,0.970947266,3
-0.098144531,0.129882813,0.977539063,3
-0.098144531,0.129882813,0.977539063,3
0,0,0,0
-0.976806641,0.043701172,-0.158447266,1
-0.976806641,0.043701172,-0.158447266,1
-0.976806641,0.043701172,-0.158447266,1
-0.982421875,0.041503906,-0.12890625,1
-0.982421875,0.041503906,-0.12890625,1
-0.982421875,0.041503906,-0.12890625,1
-0.982421875,0.041503906,-0.12890625,1
-0.964111328,0.043212891,0.108398438,1
-0.964111328,0.043212891,0.108398438,1
-0.964111328,0.043212891,0.108398438,2
0.010498047,0.053955078,0.936279297,2
0.010498047,0.053955078,0.936279297,3
0.010498047,0.053955078,0.936279297,3
-0.086914063,0.072998047,0.974121094,3
-0.086914063,0.072998047,0.974121094,3
-0.086914063,0.072998047,0.974121094,3
-0.086914063,0.072998047,0.974121094,3
-0.114013672,0.090820313,0.976806641,3
-0.114013672,0.090820313,0.976806641,3
-0.114013672,0.090820313,0.976806641,3
-0.111816406,0.079101563,0.986572266,3
-0.111816406,0.079101563,0.986572266,3
-0.111816406,0.079101563,0.986572266,3
-0.121582031,0.078857422,0.980957031,3
-0.121582031,0.078857422,0.980957031,3
0,0,0,0
-0.978515625,0.047851563,-0.167724609,1
-0.978515625,0.047851563,-0.167724609,1
-0.978515625,0.047851563,-0.167724609,1
-0.978515625,0.047851563,-0.167724609,1
-0.983886719,0.043457031,-0.173583984,1
-0.983886719,0.043457031,-0.173583984,1
-0.983886719,0.043457031,-0.173583984,1
-0.741210938,0.164306641,-0.123291016,1
-0.741210938,0.164306641,-0.123291016,1
-0.741210938,0.164306641,-0.123291016,2
0.300048828,0.365234375,0.853027344,2
0.300048828,0.365234375,0.853027344,2
0.300048828,0.365234375,0.853027344,2
0.300048828,0.365234375,0.853027344,2
-0.152099609,0.045654297,1.005371094,2
-0.152099609,0.045654297,1.005371094,3
-0.152099609,0.045654297,1.005371094,3
-0.025390625,0.068359375,0.991699219,3
-0.025390625,0.068359375,0.991699219,3
-0.025390625,0.068359375,0.991699219,3
-0.027099609,0.07421875,0.996582031,3
-0.027099609,0.07421875,0.996582031,3
-0.027099609,0.07421875,0.996582031,3
0,0,0,0
-0.985107422,0.064208984,-0.103271484,1
-0.985107422,0.064208984,-0.103271484,1
-0.985107422,0.064208984,-0.103271484,1
-0.985107422,0.064208984,-0.103271484,1
-0.98828125,0.070556641,-0.104492188,1
-0.98828125,0.070556641,-0.104492188,1
-0.98828125,0.070556641,-0.104492188,1
-0.898193359,0.067871094,0.440673828,1
-0.898193359,0.067871094,0.440673828,1
-0.898193359,0.067871094,0.440673828,2
0.331542969,0.057128906,0.956542969,2
0.331542969,0.057128906,0.956542969,2
0.331542969,0.057128906,0.956542969,2
0.153076172,0.065917969,1.001708984,2
0.153076172,0.065917969,1.001708984,3
0.153076172,0.065917969,1.001708984,3
0.153076172,0.065917969,1.001708984,3
-0.020507813,0.067382813,0.990234375,3
-0.020507813,0.067382813,0.990234375,3
-0.020507813,0.067382813,0.990234375,3
-0.014404297,0.071289063,0.991943359,3
-0.014404297,0.071289063,0.991943359,3
0,0,0,0
-0.980224609,0.041748047,-0.14453125,1
-0.980224609,0.041748047,-0.14453125,1
-0.980224609,0.041748047,-0.14453125,1
-0.984375,0.041015625,-0.144287109,1
-0.984375,0.041015625,-0.144287109,1
-0.984375,0.041015625,-0.144287109,1
-0.984375,0.041015625,-0.144287109,2
-1.397216797,-0.027832031,0.139404297,2
-1.397216797,-0.027832031,0.139404297,2
-1.397216797,-0.027832031,0.139404297,2
0.200195313,0.118164063,0.986572266,2
0.200195313,0.118164063,0.986572266,3
0.200195313,0.118164063,0.986572266,3
-0.107666016,0.060302734,0.973632813,3
-0.107666016,0.060302734,0.973632813,3
-0.107666016,0.060302734,0.973632813,3
-0.107666016,0.060302734,0.973632813,3
-0.074707031,0.08984375,0.983886719,3
-0.074707031,0.08984375,0.983886719,3
-0.074707031,0.08984375,0.983886719,3
-0.083496094,0.093994141,0.986572266,3
-0.083496094,0.093994141,0.986572266,3
-0.083496094,0.093994141,0.986572266,3
-0.086669922,0.102539063,0.995605469,3
-0.086669922,0.102539063,0.995605469,3
0,0,0,0
-0.983398438,0.019775391,-0.147216797,1
-0.983398438,0.019775391,-0.147216797,1
-0.983398438,0.019775391,-0.147216797,1
-0.981201172,0.019287109,-0.152832031,1
-0.981201172,0.019287109,-0.152832031,1
-0.981201172,0.019287109,-0.152832031,1
-0.981201172,0.019287109,-0.152832031,2
-0.625976563,0.076171875,0.051025391,2
-0.625976563,0.076171875,0.051025391,2
-0.625976563,0.076171875,0.051025391,2
0.012939453,-0.167236328,0.9609375,2
0.012939453,-0.167236328,0.9609375,3
0.012939453,-0.167236328,0.9609375,3
-0.064697266,0.004882813,0.985351563,3
-0.064697266,0.004882813,0.985351563,3
-0.064697266,0.004882813,0.985351563,3
-0.064697266,0.004882813,0.985351563,3
-0.043945313,0.058837891,0.976074219,3
-0.043945313,0.058837891,0.976074219,3
-0.043945313,0.058837891,0.976074219,3
-0.032226563,0.059814453,0.992919922,3
-0.032226563,0.059814453,0.992919922,3
-0.032226563,0.059814453,0.992919922,3
0,0,0,0
-0.977294922,0.102783203,-0.195068359,1
-0.977294922,0.102783203,-0.195068359,1
-0.977294922,0.102783203,-0.195068359,1
-0.980224609,0.094726563,-0.184814453,1
-0.980224609,0.094726563,-0.184814453,1
-0.980224609,0.094726563,-0.184814453,1
-0.980224609,0.094726563,-0.184814453,1
-0.790283203,0.087402344,0.225341797,1
-0.790283203,0.087402344,0.225341797,1
-0.790283203,0.087402344,0.225341797,2
0.026611328,0.028564453,0.913330078,2
0.026611328,0.028564453,0.913330078,2
0.026611328,0.028564453,0.913330078,2
-0.196044922,0.044921875,1.010253906,2
-0.196044922,0.044921875,1.010253906,3
-0.196044922,0.044921875,1.010253906,3
-0.196044922,0.044921875,1.010253906,3
-0.055664063,0.093017578,0.997558594,3
-0.055664063,0.093017578,0.997558594,3
-0.055664063,0.093017578,0.997558594,3
-0.066894531,0.088867188,0.995117188,3
-0.066894531,0.088867188,0.995117188,3
